problem_1,file_1,problem_2,file_2,S_structure
p00118,s023159886.cpp,p00118,s916567837.cpp,0.8053
p00118,s023159886.cpp,p00118,s968566472.cpp,0.8364
p00118,s025016103.cpp,p00118,s025694316.cpp,0.5404
p00118,s025016103.cpp,p00118,s029981568.cpp,0.5717
p00118,s025016103.cpp,p00118,s030305382.cpp,0.6484
p00118,s025016103.cpp,p00118,s063906183.cpp,0.6291
p00118,s025016103.cpp,p00118,s074715139.cpp,0.616
p00118,s025016103.cpp,p00118,s129847702.cpp,0.6615
p00118,s025016103.cpp,p00118,s246241553.cpp,0.6765
p00118,s025016103.cpp,p00118,s327876566.cpp,0.6481
p00118,s025016103.cpp,p00118,s531360425.cpp,0.6615
p00118,s025016103.cpp,p00118,s617630367.cpp,0.6299
p00118,s025016103.cpp,p00118,s693559256.cpp,0.6481
p00118,s025016103.cpp,p00118,s881701389.cpp,0.679
p00118,s025016103.cpp,p00118,s916567837.cpp,0.6615
p00118,s025016103.cpp,p00118,s968566472.cpp,0.6857
p00118,s025694316.cpp,p00118,s029981568.cpp,0.4488
p00118,s025694316.cpp,p00118,s030305382.cpp,0.4312
p00118,s025694316.cpp,p00118,s063906183.cpp,0.4406
p00118,s025694316.cpp,p00118,s074715139.cpp,0.5008
p00118,s025694316.cpp,p00118,s129847702.cpp,0.4884
p00118,s025694316.cpp,p00118,s246241553.cpp,0.4681
p00118,s025694316.cpp,p00118,s327876566.cpp,0.4976
p00118,s025694316.cpp,p00118,s531360425.cpp,0.4884
p00118,s025694316.cpp,p00118,s617630367.cpp,0.4976
p00118,s025694316.cpp,p00118,s693559256.cpp,0.4976
p00118,s025694316.cpp,p00118,s881701389.cpp,0.5321
p00118,s025694316.cpp,p00118,s916567837.cpp,0.4884
p00118,s025694316.cpp,p00118,s968566472.cpp,0.4801
p00118,s029981568.cpp,p00118,s030305382.cpp,0.7085
p00118,s029981568.cpp,p00118,s063906183.cpp,0.6698
p00118,s029981568.cpp,p00118,s074715139.cpp,0.6007
p00118,s029981568.cpp,p00118,s129847702.cpp,0.6078
p00118,s029981568.cpp,p00118,s246241553.cpp,0.6541
p00118,s029981568.cpp,p00118,s327876566.cpp,0.6054
p00118,s029981568.cpp,p00118,s531360425.cpp,0.6078
p00118,s029981568.cpp,p00118,s617630367.cpp,0.6064
p00118,s029981568.cpp,p00118,s693559256.cpp,0.6054
p00118,s029981568.cpp,p00118,s881701389.cpp,0.6407
p00118,s029981568.cpp,p00118,s916567837.cpp,0.6078
p00118,s029981568.cpp,p00118,s968566472.cpp,0.669
p00118,s030305382.cpp,p00118,s063906183.cpp,0.7792
p00118,s030305382.cpp,p00118,s074715139.cpp,0.7165
p00118,s030305382.cpp,p00118,s129847702.cpp,0.7664
p00118,s030305382.cpp,p00118,s246241553.cpp,0.8055
p00118,s030305382.cpp,p00118,s327876566.cpp,0.78
p00118,s030305382.cpp,p00118,s531360425.cpp,0.7664
p00118,s030305382.cpp,p00118,s617630367.cpp,0.725
p00118,s030305382.cpp,p00118,s693559256.cpp,0.78
p00118,s030305382.cpp,p00118,s881701389.cpp,0.7082
p00118,s030305382.cpp,p00118,s916567837.cpp,0.7664
p00118,s030305382.cpp,p00118,s968566472.cpp,0.8315
p00118,s063906183.cpp,p00118,s074715139.cpp,0.8523
p00118,s063906183.cpp,p00118,s129847702.cpp,0.909
p00118,s063906183.cpp,p00118,s246241553.cpp,0.8471
p00118,s063906183.cpp,p00118,s327876566.cpp,0.9084
p00118,s063906183.cpp,p00118,s531360425.cpp,0.909
p00118,s063906183.cpp,p00118,s617630367.cpp,0.8626
p00118,s063906183.cpp,p00118,s693559256.cpp,0.9084
p00118,s063906183.cpp,p00118,s881701389.cpp,0.849
p00118,s063906183.cpp,p00118,s916567837.cpp,0.909
p00118,s063906183.cpp,p00118,s968566472.cpp,0.8731
p00118,s074715139.cpp,p00118,s129847702.cpp,0.8942
p00118,s074715139.cpp,p00118,s246241553.cpp,0.8021
p00118,s074715139.cpp,p00118,s327876566.cpp,0.8918
p00118,s074715139.cpp,p00118,s531360425.cpp,0.8942
p00118,s074715139.cpp,p00118,s617630367.cpp,0.9702
p00118,s074715139.cpp,p00118,s693559256.cpp,0.8918
p00118,s074715139.cpp,p00118,s881701389.cpp,0.8331
p00118,s074715139.cpp,p00118,s916567837.cpp,0.8942
p00118,s074715139.cpp,p00118,s968566472.cpp,0.8207
p00118,s129847702.cpp,p00118,s246241553.cpp,0.8445
p00118,s129847702.cpp,p00118,s327876566.cpp,0.9843
p00118,s129847702.cpp,p00118,s531360425.cpp,1.0
p00118,s129847702.cpp,p00118,s617630367.cpp,0.9195
p00118,s129847702.cpp,p00118,s693559256.cpp,0.9843
p00118,s129847702.cpp,p00118,s881701389.cpp,0.8507
p00118,s129847702.cpp,p00118,s916567837.cpp,1.0
p00118,s129847702.cpp,p00118,s968566472.cpp,0.8654
p00118,s246241553.cpp,p00118,s327876566.cpp,0.8592
p00118,s246241553.cpp,p00118,s531360425.cpp,0.8445
p00118,s246241553.cpp,p00118,s617630367.cpp,0.7866
p00118,s246241553.cpp,p00118,s693559256.cpp,0.8592
p00118,s246241553.cpp,p00118,s881701389.cpp,0.7845
p00118,s246241553.cpp,p00118,s916567837.cpp,0.8445
p00118,s246241553.cpp,p00118,s968566472.cpp,0.9866
p00118,s327876566.cpp,p00118,s531360425.cpp,0.9843
p00118,s327876566.cpp,p00118,s617630367.cpp,0.9047
p00118,s327876566.cpp,p00118,s693559256.cpp,1.0
p00118,s327876566.cpp,p00118,s881701389.cpp,0.846
p00118,s327876566.cpp,p00118,s916567837.cpp,0.9843
p00118,s327876566.cpp,p00118,s968566472.cpp,0.8801
p00118,s531360425.cpp,p00118,s617630367.cpp,0.9195
p00118,s531360425.cpp,p00118,s693559256.cpp,0.9843
p00118,s531360425.cpp,p00118,s881701389.cpp,0.8507
p00118,s531360425.cpp,p00118,s916567837.cpp,1.0
p00118,s531360425.cpp,p00118,s968566472.cpp,0.8654
p00118,s617630367.cpp,p00118,s693559256.cpp,0.9047
p00118,s617630367.cpp,p00118,s881701389.cpp,0.8416
p00118,s617630367.cpp,p00118,s916567837.cpp,0.9195
p00118,s617630367.cpp,p00118,s968566472.cpp,0.8171
p00118,s693559256.cpp,p00118,s881701389.cpp,0.846
p00118,s693559256.cpp,p00118,s916567837.cpp,0.9843
p00118,s693559256.cpp,p00118,s968566472.cpp,0.8801
p00118,s881701389.cpp,p00118,s916567837.cpp,0.8507
p00118,s881701389.cpp,p00118,s968566472.cpp,0.8088
p00118,s916567837.cpp,p00118,s968566472.cpp,0.8654
