model,max_depth,min_samples_leaf,min_samples_split,criterion,class_weight,random_state,cv_f1_macro_mean,cv_f1_macro_std,n_estimators
RandomForest,,3,,gini,balanced,42,0.8435596703409679,0.035264599545263536,100.0
DecisionTree,5.0,3,2.0,gini,,42,0.8435284574786577,0.053332218179208614,
DecisionTree,5.0,3,2.0,gini,balanced,42,0.8435284574786577,0.053332218179208614,
DecisionTree,5.0,3,4.0,gini,,42,0.8435284574786577,0.053332218179208614,
DecisionTree,5.0,3,4.0,gini,balanced,42,0.8435284574786577,0.053332218179208614,
DecisionTree,5.0,3,6.0,gini,,42,0.8435284574786577,0.053332218179208614,
DecisionTree,5.0,3,6.0,gini,balanced,42,0.8435284574786577,0.053332218179208614,
RandomForest,,5,,entropy,,42,0.843485055529511,0.03518075339902646,100.0
RandomForest,,5,,entropy,balanced,42,0.843485055529511,0.03518075339902646,100.0
ExtraTrees,,1,,entropy,,42,0.843417035900058,0.03955224657530558,300.0
ExtraTrees,,1,,entropy,balanced,42,0.843417035900058,0.03955224657530558,300.0
DecisionTree,5.0,2,2.0,entropy,,42,0.8433678453782942,0.0497085363385159,
DecisionTree,5.0,2,2.0,entropy,balanced,42,0.8433678453782942,0.0497085363385159,
DecisionTree,5.0,2,4.0,entropy,,42,0.8433678453782942,0.0497085363385159,
DecisionTree,5.0,2,4.0,entropy,balanced,42,0.8433678453782942,0.0497085363385159,
RandomForest,,1,,entropy,,42,0.8433050432157628,0.03473211411681472,100.0
RandomForest,,1,,entropy,balanced,42,0.8433050432157628,0.03473211411681472,100.0
RandomForest,5.0,1,,gini,,42,0.8433004876100103,0.024832010553316193,100.0
RandomForest,5.0,1,,gini,balanced,42,0.8433004876100103,0.024832010553316193,100.0
RandomForest,5.0,1,,gini,,42,0.8432499019402296,0.031461415165680906,200.0
RandomForest,5.0,1,,gini,balanced,42,0.8432499019402296,0.031461415165680906,200.0
RandomForest,6.0,1,,gini,,42,0.8431108530026187,0.027888889790670085,100.0
RandomForest,6.0,1,,gini,balanced,42,0.8431108530026187,0.027888889790670085,100.0
ExtraTrees,6.0,1,,gini,,42,0.843101947570611,0.03958050479907858,300.0
ExtraTrees,6.0,1,,gini,balanced,42,0.843101947570611,0.03958050479907858,300.0
ExtraTrees,,2,,gini,,42,0.8430050294144822,0.04132330353231648,300.0
ExtraTrees,,2,,gini,balanced,42,0.8430050294144822,0.04132330353231648,300.0
ExtraTrees,,3,,entropy,,42,0.8427758528695163,0.04245626073165807,200.0
ExtraTrees,,3,,entropy,balanced,42,0.8427758528695163,0.04245626073165807,200.0
ExtraTrees,,3,,entropy,,42,0.8427758528695163,0.04245626073165807,300.0
ExtraTrees,,3,,entropy,balanced,42,0.8427758528695163,0.04245626073165807,300.0
RandomForest,6.0,2,,entropy,,42,0.8427374917994612,0.030788818203928217,100.0
RandomForest,6.0,2,,entropy,balanced,42,0.8427374917994612,0.030788818203928217,100.0
ExtraTrees,6.0,1,,entropy,,42,0.8426256174465727,0.037817023721181814,300.0
ExtraTrees,6.0,1,,entropy,balanced,42,0.8426256174465727,0.037817023721181814,300.0
RandomForest,,2,,entropy,,42,0.8426001238730727,0.03194821035910559,200.0
RandomForest,,2,,entropy,balanced,42,0.8426001238730727,0.03194821035910559,200.0
RandomForest,,2,,gini,,42,0.8426001238730727,0.03194821035910559,300.0
RandomForest,,2,,gini,balanced,42,0.8426001238730727,0.03194821035910559,300.0
RandomForest,,2,,entropy,,42,0.8423800588503759,0.030945147270126025,300.0
RandomForest,,2,,entropy,balanced,42,0.8423800588503759,0.030945147270126025,300.0
RandomForest,,2,,entropy,,42,0.8421509502494222,0.03102347710025986,100.0
